Protein IDs,Majority protein IDs,Protein names,Gene names,Intensity EV_AA1,Intensity EV_AA2,Intensity EV_AA3,Intensity EV_B1,Intensity EV_B2,Intensity EV_B3,Intensity WT_AA1,Intensity WT_AA2,Intensity WT_AA3,Intensity WT_B1,Intensity WT_B2,Intensity WT_B3,iBAQ,iBAQ EV_AA1,iBAQ EV_AA2,iBAQ EV_AA3,iBAQ EV_B1,iBAQ EV_B2,iBAQ EV_B3,iBAQ WT_AA1,iBAQ WT_AA2,iBAQ WT_AA3,iBAQ WT_B1,iBAQ WT_B2,iBAQ WT_B3,LFQ intensity EV_AA1,LFQ intensity EV_AA2,LFQ intensity EV_AA3,LFQ intensity EV_B1,LFQ intensity EV_B2,LFQ intensity EV_B3,LFQ intensity WT_AA1,LFQ intensity WT_AA2,LFQ intensity WT_AA3,LFQ intensity WT_B1,LFQ intensity WT_B2,LFQ intensity WT_B3
K7ERG4;P62316;P62316-2,K7ERG4;P62316,Small nuclear ribonucleoprotein Sm D2,SNRPD2,2086700000,2453500000,2560300000,1788600000,1459900000,2016500000,430480000,2952600000,351990000,3043700000,3457300000,237910000,5709800000,521660000,613360000,640080000,447160000,364980000,504120000,107620000,738150000,87998000,760930000,864310000,59477000,1514900000,1579200000,1574000000,1494200000,1472300000,1509900000,1399300000,1294400000,1366900000,1521300000,1732600000,1318800000
K7ES59,K7ES59,,PTBP1,43843000,57876000,46265000,39604000,47404000,61718000,42032000,0,0,88117000,95348000,81106000,67035000,4871400,6430700,5140600,4400500,5267100,6857500,4670200,0,0,9790800,10594000,9011800,0,0,0,0,0,0,0,0,0,0,0,60420000
K7ESP4;Q8WVC6;Q8WVC6-2,K7ESP4;Q8WVC6,Dephospho-CoA kinase domain-containing protein,DCAKD,143650000,112670000,78923000,100620000,88848000,82051000,129530000,155330000,207450000,174810000,177220000,114240000,130450000,11971000,9389500,6576900,8385100,7404000,6837600,10794000,12945000,17287000,14568000,14768000,9520200,100170000,95965000,73459000,91037000,90623000,97278000,81998000,91914000,122370000,99612000,104630000,105810000
M0R061;O14579-3;O14579;M0QXB4;O14579-2,M0R061;O14579-3;O14579;M0QXB4;O14579-2,Coatomer subunit epsilon,COPE,13059000,13166000,16340000,14244000,6151600,9006900,22192000,38686000,12849000,22484000,22015000,19633000,29975000,1865600,1880900,2334300,2034900,878800,1286700,3170300,5526600,1835600,3212000,3144900,2804700,0,0,0,0,0,0,0,22920000,0,0,0,0
M0QXN5;P37198,M0QXN5;P37198,Nuclear pore glycoprotein p62,NUP62,20458000,17468000,0,16811000,9921000,13820000,45307000,51587000,19361000,31150000,41421000,30390000,33077000,2273100,1940900,0,1867900,1102300,1535600,5034100,5731900,2151200,3461100,4602300,3376700,0,0,0,0,0,0,0,20014000,0,23864000,0,28081000
M0R201;M0QY29;Q05469-2;Q05469,M0R201;M0QY29;Q05469-2;Q05469,Hormone-sensitive lipase,LIPE,57072000,59514000,45592000,43396000,27054000,22783000,0,33645000,52450000,68091000,36936000,24798000,31422000,3804800,3967600,3039500,2893100,1803600,1518900,0,2243000,3496600,4539400,2462400,1653200,0,0,0,0,0,0,0,0,0,0,0,18473000
M0QY97;Q9UPT8,M0QY97;Q9UPT8,Zinc finger CCCH domain-containing protein 4,ZC3H4,621810000,914050000,819620000,902260000,559070000,740590000,952130000,1052000000,1128200000,975250000,1106100000,1181900000,312940000,17766000,26116000,23418000,25779000,15974000,21160000,27204000,30056000,32234000,27864000,31603000,33768000,585960000,708430000,550490000,763200000,838330000,769730000,518380000,611390000,668950000,613970000,717960000,863510000
P40429;M0QYS1;Q6NVV1;M0QZU1,P40429;M0QYS1,60S ribosomal protein L13a,RPL13A,4133100000,4931200000,4556700000,3269300000,2881900000,3559600000,6338300000,6127700000,5840900000,5085700000,5266900000,4990900000,6331400000,459230000,547920000,506300000,363250000,320210000,395510000,704250000,680860000,648990000,565080000,585210000,554550000,3468100000,3831100000,3425500000,3302000000,2988500000,3516300000,3291900000,3721700000,3796200000,3325900000,3400700000,3446100000
Q9NZ43-2;M0QYT5;Q9NZ43;M0QZE0;Q9NZ43-3;F8W6G7;G8JLK1,Q9NZ43-2;M0QYT5;Q9NZ43;M0QZE0;Q9NZ43-3;F8W6G7;G8JLK1,Vesicle transport protein USE1,USE1,0,0,6136500,6447200,6057900,0,34034000,31364000,29612000,29529000,19245000,23091000,20613000,0,0,681830,716350,673100,0,3781600,3484900,3290200,3281000,2138300,2565700,0,0,0,0,0,0,0,0,17974000,0,0,0
Q96CP6-2;Q96CP6-3;Q96CP6;M0QZ12;J3KR86;M0R3C5;M0R0Q8;M0R0J9,Q96CP6-2;Q96CP6-3;Q96CP6;M0QZ12;J3KR86,GRAM domain-containing protein 1A,GRAMD1A,17208000,0,0,8855700,4818700,7707100,51536000,0,19536000,0,0,0,2963800,465080,0,0,239340,130240,208300,1392900,0,527990,0,0,0,0,0,0,0,0,0,26654000,0,0,0,0,0
M0QZ22;Q5PRF9;M0R0X3;M0QX45;M0QY61,M0QZ22;Q5PRF9;M0R0X3,Protein Smaug homolog 2,SAMD4B,10759000,6499500,5893700,2014200,3918000,5214500,164920000,134570000,114080000,87921000,40465000,72649000,24958000,413790,249980,226680,77467,150690,200560,6343000,5175900,4387800,3381600,1556400,2794200,15710000,0,0,0,0,10234000,101710000,91714000,49886000,49563000,24685000,38808000
M0QZG7;M0R268;P09012;M0QXK2;M0R221;M0R2B8,M0QZG7;M0R268;P09012,U1 small nuclear ribonucleoprotein A,SNRPA,96941000,98430000,117610000,101740000,86496000,89977000,187880000,136870000,178500000,170370000,151450000,132600000,258140000,16157000,16405000,19601000,16956000,14416000,14996000,31314000,22811000,29749000,28396000,25241000,22099000,87350000,81640000,93337000,101720000,95575000,93057000,96817000,81736000,107780000,104190000,91806000,100160000
M0QZH3;Q8WUY8,M0QZH3;Q8WUY8,N-acetyltransferase 14,NAT14,0,0,3950700,1799500,1790300,0,10260000,5766300,5059200,9826700,4763000,6482600,16566000,0,0,1316900,599830,596760,0,3420200,1922100,1686400,3275600,1587700,2160900,0,0,0,0,0,0,0,0,0,0,0,4829200
M0QZM1,M0QZM1,,HNRNPM,2384700000,3344000000,1921600000,1431000000,1373300000,1524900000,3295400000,4423200000,2375400000,2679600000,2013100000,1559500000,885180000,74520000,104500000,60051000,44719000,42917000,47653000,102980000,138220000,74232000,83739000,62909000,48734000,0,0,0,0,0,0,0,0,0,0,0,1161700000
M0R307;M0R0F4;M0R340;M0R0L2;M0QZZ2;M0R3F7;M0R011;Q96D53-2;Q96D53;M0R2F4,M0R307;M0R0F4;M0R340;M0R0L2;M0QZZ2;M0R3F7;M0R011;Q96D53-2;Q96D53;M0R2F4,Uncharacterized aarF domain-containing protein kinase 4,ADCK4,8613600,7778800,11152000,29909000,18764000,66084000,4620000,0,54161000,0,0,13095000,42836000,1722700,1555800,2230400,5981900,3752800,13217000,924000,0,10832000,0,0,2619000,0,0,0,21202000,0,84873000,0,0,21601000,0,0,11943000
M0R0F0;P46782;M0R0R2;M0QZN2,M0R0F0;P46782;M0R0R2;M0QZN2,"40S ribosomal protein S5;40S ribosomal protein S5, N-terminally processed",RPS5,538180000,914780000,1015500000,1227800000,984900000,993770000,3590500000,2732400000,2236700000,3364500000,3452800000,2084500000,2313600000,53818000,91478000,101550000,122780000,98490000,99377000,359050000,273240000,223670000,336450000,345280000,208450000,959690000,850120000,790290000,1216500000,1111500000,1099000000,1667000000,1588000000,1424700000,1828100000,1665500000,1827300000
P62987;M0R2S1,P62987;M0R2S1,Ubiquitin-60S ribosomal protein L40;Ubiquitin;60S ribosomal protein L40,UBA52,132730000,158560000,94055000,0,0,0,0,0,0,0,26016000,0,68561000,22122000,26427000,15676000,0,0,0,0,0,0,0,4336000,0,0,0,0,0,0,0,0,0,0,0,17054000,0
Q8IX01-4;Q8IX01;M0R2Z9;Q8IX01-3;M0R3F6;M0R065;M0R216,Q8IX01-4;Q8IX01;M0R2Z9;Q8IX01-3;M0R3F6,SURP and G-patch domain-containing protein 2,SUGP2,1025200000,984690000,1463700000,1439200000,1064200000,1309600000,2761700000,2594500000,2403300000,3106400000,2570900000,1975200000,482950000,21813000,20951000,31143000,30622000,22644000,27865000,58760000,55202000,51134000,66093000,54699000,42025000,1035900000,1043600000,1213900000,1366800000,1329200000,1271400000,1452100000,1377000000,1455900000,1633700000,1671200000,1417400000
M0R3C3;Q9NZ01;B3KSQ1;M0QXM3;Q9NZ01-2,M0R3C3;Q9NZ01;B3KSQ1,Very-long-chain enoyl-CoA reductase,TECR,98855000,144290000,144710000,102510000,142180000,51206000,1089700000,1080400000,462150000,711180000,525990000,349410000,980510000,19771000,28857000,28942000,20501000,28437000,10241000,217930000,216090000,92431000,142240000,105200000,69882000,75867000,117360000,88684000,113340000,118570000,60061000,544370000,629690000,293990000,459100000,372380000,276580000
O00116;B8ZZ81,O00116,"Alkyldihydroxyacetonephosphate synthase, peroxisomal",AGPS,451990000,595380000,312250000,189070000,102450000,179000000,642510000,406640000,363750000,364190000,391240000,252530000,121460000,12914000,17011000,8921300,5401900,2927300,5114300,18357000,11618000,10393000,10405000,11178000,7215300,338650000,421370000,287770000,213900000,101260000,161500000,435280000,243930000,187900000,204270000,292310000,182030000
O00124-3;O00124,O00124-3;O00124,UBX domain-containing protein 8,UBXN8,5297100,0,4030800,0,0,0,50730000,21570000,25387000,35734000,17389000,16507000,14720000,441430,0,335900,0,0,0,4227500,1797500,2115600,2977800,1449100,1375600,0,0,0,0,0,0,0,0,0,0,0,12297000
O00139-2;O00139-1;O00139-5;O00139;O00139-4;D6R9M0;H0Y8H2;H0Y5Z9,O00139-2;O00139-1;O00139-5;O00139;O00139-4,Kinesin-like protein KIF2A,KIF2A,124170000,77987000,134160000,119160000,140430000,113780000,215010000,265350000,190290000,182940000,196110000,196290000,61115000,3880400,2437100,4192400,3723600,4388400,3555600,6718900,8292100,5946600,5716900,6128500,6134200,124000000,124490000,138480000,123100000,162210000,117730000,122650000,101800000,111760000,100990000,108180000,103780000
O00148;O00148-2;B1Q2N1;K7EQN7;K7EPJ3;K7EN69;K7ENP6;K7EL56;K7EIL8;K7EN25,O00148;O00148-2;B1Q2N1;K7EQN7,ATP-dependent RNA helicase DDX39A,DDX39A;DDX39,886950000,894810000,1161800000,855980000,640280000,975720000,1237100000,1327000000,949960000,1202000000,1192200000,1020800000,649720000,46681000,47095000,61147000,45051000,33699000,51354000,65112000,69844000,49998000,63261000,62750000,53729000,811150000,691750000,826340000,871160000,814410000,906540000,698940000,769080000,635950000,667810000,721330000,683700000
O00165-5;O00165-3;O00165;O00165-2;E9PIQ7;Q5VYD6,O00165-5;O00165-3;O00165;O00165-2;E9PIQ7,HCLS1-associated protein X-1,HAX1,179510000,246630000,205350000,127420000,171520000,168580000,293960000,252360000,340490000,312870000,314440000,264660000,191850000,11967000,16442000,13690000,8494900,11435000,11239000,19598000,16824000,22699000,20858000,20963000,17644000,136740000,183140000,145850000,189880000,180690000,201090000,162650000,150080000,203850000,175870000,207290000,173970000
O00203;E5RJ68;F5GYB0;F5GWU4;H0YBD0,O00203;E5RJ68,AP-3 complex subunit beta-1,AP3B1,2439800000,3107100000,2218700000,2185700000,1642000000,2024500000,3554300000,3671400000,3163300000,3213300000,2532000000,2982700000,595180000,44360000,56493000,40340000,39741000,29854000,36809000,64624000,66753000,57515000,58423000,46036000,54231000,2258600000,2318900000,1796100000,2259600000,1769600000,1876800000,2092700000,1932300000,1782100000,1908700000,1799700000,2403400000
O00231;O00231-2;J3QRY4;J3QS13,O00231;O00231-2,26S proteasome non-ATPase regulatory subunit 11,PSMD11,37016000,181280000,56312000,99854000,101360000,113770000,137320000,35901000,101250000,722650000,189380000,295370000,76721000,1371000,6714100,2085600,3698300,3754000,4213800,5086000,1329700,3750100,26765000,7014000,10940000,77235000,56610000,52079000,132840000,123140000,138380000,133060000,55678000,87087000,310970000,132600000,187510000
O00232-2;O00232,O00232-2;O00232,26S proteasome non-ATPase regulatory subunit 12,PSMD12,0,0,0,0,0,0,25166000,11369000,21492000,0,0,18515000,3189300,0,0,0,0,0,0,1048600,473700,895520,0,0,771470,0,0,0,0,0,0,0,0,0,0,0,13793000
O00264;B7Z1L3,O00264;B7Z1L3,Membrane-associated progesterone receptor component 1,PGRMC1,6551900,7127500,24401000,16872000,7509800,5683600,153100000,124230000,115600000,181430000,111980000,80701000,104400000,818990,890940,3050100,2109000,938730,710450,19137000,15528000,14450000,22679000,13997000,10088000,0,0,40945000,0,0,0,96843000,84791000,90840000,69971000,54737000,46771000
O00268;Q5TBP5,O00268;Q5TBP5,Transcription initiation factor TFIID subunit 4,TAF4,50795000000,52231000000,63907000000,51984000000,53045000000,54238000000,55754000000,60086000000,58941000000,61764000000,56836000000,62583000000,16638000000,1238900000,1273900000,1558700000,1267900000,1293800000,1322900000,1359900000,1465500000,1437600000,1506400000,1386200000,1526400000,50094000000,43580000000,47812000000,51636000000,58542000000,58497000000,30059000000,32636000000,34134000000,36103000000,37264000000,37648000000
O00422;H7BZW6,O00422;H7BZW6,Histone deacetylase complex subunit SAP18,SAP18,1576200000,1417400000,2181400000,1800700000,1344900000,1446500000,2548600000,2365500000,1925300000,2493500000,2290000000,2020800000,2128300000,143290000,128860000,198310000,163700000,122260000,131500000,231690000,215050000,175030000,226680000,208180000,183710000,1258000000,1029500000,1619300000,1787600000,1705400000,1536500000,1367900000,1201700000,1482600000,1342400000,1471600000,1433600000
O00425;O00425-2;F8WD15,O00425,Insulin-like growth factor 2 mRNA-binding protein 3,IGF2BP3,1429600000,1849300000,1604400000,1866700000,1399500000,1800900000,14282000000,9438100000,8652300000,12485000000,9725100000,6535500000,2450600000,49296000,63769000,55323000,64370000,48257000,62100000,492480000,325450000,298360000,430520000,335350000,225360000,1529300000,1552900000,1395700000,1908000000,1678700000,2125700000,6799300000,5565200000,5446400000,6885900000,6437800000,4787200000
O00443;B4E2G4;F5H2B0;E9PPP3,O00443;B4E2G4;F5H2B0,Phosphatidylinositol 4-phosphate 3-kinase C2 domain-containing subunit alpha,PIK3C2A,582460000,897090000,569420000,562040000,513750000,477490000,1316000000,751610000,753950000,653520000,528800000,474920000,85969000,6196400,9543500,6057700,5979100,5465400,5079700,14000000,7995900,8020800,6952300,5625600,5052400,532590000,634870000,490650000,499160000,502830000,457550000,546670000,448420000,527130000,454520000,379510000,371390000
O00461;F8W785,O00461;F8W785,Golgi integral membrane protein 4,GOLIM4,713880000,923070000,665150000,571650000,570430000,529390000,931150000,761720000,819450000,1004900000,690000000,613640000,225500000,18305000,23668000,17055000,14658000,14626000,13574000,23876000,19531000,21011000,25765000,17692000,15734000,662840000,678160000,564010000,594300000,691690000,540630000,486670000,455810000,512470000,525440000,440840000,443050000
O00479;P05204,O00479;P05204,High mobility group nucleosome-binding domain-containing protein 4;Non-histone chromosomal protein HMG-17,HMGN4;HMGN2,64948000,9621900,10568000,15420000,11875000,14817000,129150000,142750000,0,29806000,16609000,21354000,155640000,21649000,3207300,3522700,5139900,3958200,4939000,43050000,47584000,0,9935200,5536300,7118100,52993000,0,0,0,0,0,77776000,77275000,0,0,0,0
O00487,O00487,26S proteasome non-ATPase regulatory subunit 14,PSMD14,20546000,27684000,38847000,24040000,28426000,21511000,62558000,50489000,57895000,113260000,86930000,44819000,38467000,1369700,1845600,2589800,1602700,1895000,1434100,4170500,3366000,3859700,7550900,5795300,2987900,25619000,24401000,35630000,29476000,32908000,28709000,34515000,0,33495000,51650000,43614000,35020000
O00488;A9J4F5,O00488;A9J4F5,Zinc finger protein 593,ZNF593,127410000,98511000,163680000,95566000,73174000,84774000,316410000,107060000,99377000,153520000,139830000,189230000,274760000,21236000,16419000,27280000,15928000,12196000,14129000,52736000,17843000,16563000,25587000,23305000,31538000,114330000,92766000,115670000,82536000,89200000,92803000,127810000,95193000,74862000,94432000,96494000,120710000
O00505,O00505,Importin subunit alpha-4,KPNA3,950240000,883570000,1245300000,792250000,795320000,947330000,944540000,1063200000,1171400000,1044100000,1035700000,1088600000,703620000,55897000,51975000,73255000,46603000,46783000,55725000,55561000,62540000,68907000,61416000,60924000,64037000,725400000,730000000,854100000,872270000,1010200000,990140000,520880000,601300000,710520000,660950000,651630000,800030000
O00512,O00512,B-cell CLL/lymphoma 9 protein,BCL9,0,0,0,7986500,0,0,0,0,0,0,0,0,126770,0,0,0,126770,0,0,0,0,0,0,0,0,0,0,0,7986500,0,0,0,0,0,0,0,0
O00566;C9JX83,O00566;C9JX83,U3 small nucleolar ribonucleoprotein protein MPP10,MPHOSPH10,8852800,21039000,28786000,20663000,9785700,13133000,40654000,30510000,21178000,12012000,14827000,28292000,8919100,316170,751380,1028100,737960,349490,469030,1451900,1089700,756370,429010,529530,1010400,0,0,22570000,20724000,0,0,0,0,0,0,0,0
O00567;Q5JXT2;H0YDU4;H0Y653,O00567,Nucleolar protein 56,NOP56,1437300000,1184900000,1630300000,1584100000,1004300000,1207200000,2618500000,2328500000,2191300000,1912200000,1673200000,1867000000,665770000,46364000,38223000,52590000,51100000,32397000,38942000,84467000,75114000,70689000,61684000,53976000,60225000,1368600000,1070600000,1293700000,1274000000,1349500000,1393500000,1209300000,1130700000,1227000000,1179700000,1090700000,1160400000
O00571;O00571-2;B4DXX7;O15523;B4E132;B4E3C4;B4DLA0;C9J081;C9J8G5;D6RCM4;Q9NQI0-3;Q9NQI0-2;Q9NQI0-4;Q9NQI0,O00571;O00571-2;B4DXX7;O15523,ATP-dependent RNA helicase DDX3X;ATP-dependent RNA helicase DDX3Y,DDX3X;DDX3Y,15196000000,12617000000,13001000000,15066000000,12231000000,11949000000,23078000000,20439000000,17232000000,22333000000,22997000000,21067000000,5313000000,389640000,323520000,333370000,386300000,313610000,306390000,591740000,524080000,441840000,572650000,589670000,540180000,12703000000,10310000000,10732000000,14556000000,13240000000,13262000000,12812000000,12499000000,11326000000,12513000000,13718000000,15384000000
O00629;H7C4F6,O00629,Importin subunit alpha-3,KPNA4,201110000,249200000,234380000,228150000,242290000,254740000,288350000,238370000,306240000,317600000,297940000,339900000,199890000,12569000,15575000,14648000,14260000,15143000,15921000,18022000,14898000,19140000,19850000,18621000,21244000,176920000,219570000,193140000,233260000,242110000,261430000,143390000,143090000,217730000,167530000,177410000,263290000
O00743-2;O00743;O00743-3;B7Z3E2,O00743-2;O00743;O00743-3,Serine/threonine-protein phosphatase 6 catalytic subunit,PPP6C,17154000,20063000,27847000,13403000,20079000,38960000,22095000,0,44138000,29259000,18044000,36487000,19169000,1143600,1337500,1856500,893560,1338600,2597300,1473000,0,2942500,1950600,1202900,2432400,0,0,0,0,0,0,0,0,26790000,0,0,0
O00767,O00767,Acyl-CoA desaturase,SCD,0,0,0,0,0,0,0,115640000,0,132850000,0,0,19115000,0,0,0,0,0,0,0,8895600,0,10219000,0,0,0,0,0,0,0,0,0,0,0,79995000,0,0
O14519;O14519-2;O75956,O14519;O14519-2;O75956,Cyclin-dependent kinase 2-associated protein 1;Cyclin-dependent kinase 2-associated protein 2,CDK2AP1;CDK2AP2,23442000,87092000,26687000,57431000,91785000,26515000,77763000,23886000,100420000,0,30474000,75356000,155210000,5860600,21773000,6671900,14358000,22946000,6628900,19441000,5971500,25104000,0,7618500,18839000,0,72874000,0,63384000,91569000,0,39053000,0,67442000,0,0,54909000
O14545;F8VNX8;F8VVF3;B4DI89;F8VWK2,O14545;F8VNX8;F8VVF3;B4DI89,TRAF-type zinc finger domain-containing protein 1,TRAFD1,23291000,34463000,33123000,27327000,43434000,28457000,44771000,38058000,46282000,49529000,41809000,74448000,18654000,895820,1325500,1274000,1051000,1670500,1094500,1722000,1463800,1780100,1905000,1608000,2863400,31376000,0,35246000,21677000,29631000,24362000,0,30907000,0,27017000,0,59111000
O14617;O14617-5;O14617-4;O14617-2;G5E988;O14617-3;E7EMM2;K7ELX8;K7ERW8,O14617;O14617-5;O14617-4;O14617-2;G5E988;O14617-3;E7EMM2,AP-3 complex subunit delta-1,AP3D1,26678000000,33365000000,33331000000,22551000000,19119000000,22195000000,30928000000,33785000000,26874000000,40369000000,23797000000,25028000000,6627800000,523090000,654210000,653550000,442170000,374880000,435190000,606440000,662450000,526950000,791550000,466600000,490740000,25285000000,24148000000,23292000000,25540000000,21967000000,23433000000,18308000000,19266000000,16586000000,17844000000,15908000000,20404000000
P54792-2;P54792;O14640-2;O14640,P54792-2;P54792;O14640-2;O14640,Putative segment polarity protein dishevelled homolog DVL1P1;Segment polarity protein dishevelled homolog DVL-1,DVL1P1;DVL1,4948300,0,0,0,0,0,9304100,10567000,0,0,0,0,855840,170630,0,0,0,0,0,320830,364380,0,0,0,0,0,0,0,0,0,0,0,6260500,0,0,0,0
O14656;O14656-2,O14656,Torsin-1A,TOR1A,143450000,301400000,283170000,185640000,151050000,203790000,509250000,469980000,354850000,394220000,433190000,248470000,216380000,8438100,17729000,16657000,10920000,8885400,11988000,29956000,27646000,20873000,23189000,25481000,14616000,161060000,251780000,209040000,162240000,175440000,165610000,266440000,239380000,191920000,225060000,362690000,209560000
O14744;O14744-2;G3V5W5;B4DX49;B4DV00;G3V580;A8MTP3;G3V5L5;G3V2L6;C9JSX3;G3V2X6;H0YJX6;H7BZ44;G3V507;G3V2F5;H0YJD3;H0YJ77;H0YJY6,O14744;O14744-2;G3V5W5;B4DX49;B4DV00;G3V580;A8MTP3,"Protein arginine N-methyltransferase 5;Protein arginine N-methyltransferase 5, N-terminally processed",PRMT5,8183400000,7484400000,5601200000,7377800000,5813900000,5754500000,9015700000,9392900000,7513400000,7479500000,6005200000,9308000000,2779100000,255730000,233890000,175040000,230560000,181680000,179830000,281740000,293530000,234790000,233740000,187660000,290880000,6540500000,6277900000,4737600000,7411200000,5879500000,5965200000,4658500000,5355200000,4700800000,5157800000,4092800000,6097800000
O14776-2;O14776;G3V220,O14776-2;O14776;G3V220,Transcription elongation regulator 1,TCERG1,306060000,392360000,314770000,377270000,212620000,283600000,623300000,630390000,439720000,536890000,469160000,519740000,127650000,7651600,9809000,7869200,9431800,5315600,7090100,15582000,15760000,10993000,13422000,11729000,12993000,284640000,358190000,296060000,355860000,320850000,279020000,264720000,293000000,319760000,300930000,302630000,344670000
O14828;O14828-2,O14828;O14828-2,Secretory carrier-associated membrane protein 3,SCAMP3,4410100000,4262500000,3488100000,882080000,1259500000,1145000000,5554900000,3781700000,2607600000,2239400000,1590900000,1621500000,3284300000,441010000,426250000,348810000,88208000,125950000,114500000,555490000,378170000,260760000,223940000,159090000,162150000,3714100000,3453500000,2580000000,1200300000,1447200000,1212300000,2774700000,2091000000,1744100000,1255800000,1076900000,1190700000
O14893-3;O14893-2;O14893;H0YEL0;G5EA29;H0YDP6,O14893-3;O14893-2;O14893;H0YEL0;G5EA29;H0YDP6,Gem-associated protein 2,GEMIN2,152340000,130640000,135630000,61071000,62064000,58305000,240860000,162860000,198110000,313630000,196840000,121710000,166730000,13849000,11876000,12330000,5551900,5642200,5300400,21896000,14805000,18010000,28511000,17894000,11064000,113120000,106210000,96561000,97684000,116260000,99843000,120970000,93809000,100080000,123970000,128810000,88942000
O14929-2;O14929,O14929-2;O14929,Histone acetyltransferase type B catalytic subunit,HAT1,18755000,29886000,65931000,19591000,36388000,23253000,0,24325000,72410000,0,33951000,49601000,34008000,1705000,2716900,5993800,1781000,3308000,2113900,0,2211400,6582700,0,3086500,4509200,0,0,0,0,0,0,0,0,0,0,0,36950000
O14966;E9PL56;O14966-2,O14966;E9PL56;O14966-2,Ras-related protein Rab-7L1,RAB7L1,14236000,27542000,14562000,8132300,9616300,7840300,50223000,30274000,23982000,29313000,11995000,12308000,20002000,1186300,2295200,1213500,677690,801360,653360,4185300,2522900,1998500,2442700,999540,1025700,0,29259000,0,10050000,12643000,0,18486000,16674000,15078000,15385000,0,0
O14967,O14967,Calmegin,CLGN,0,0,0,0,0,0,0,12046000,0,0,0,0,354280,0,0,0,0,0,0,0,354280,0,0,0,0,0,0,0,0,0,0,0,7136500,0,0,0,0
O14974-5;O14974;O14974-4;O14974-2;O14974-3;H0YHI8;F8VZN8;H0YIM2;H0YIS3;H0YIS4;F8VW28;H0YHL8,O14974-5;O14974;O14974-4;O14974-2;O14974-3;H0YHI8;F8VZN8,Protein phosphatase 1 regulatory subunit 12A,PPP1R12A,76721000,99663000,95063000,76196000,88415000,74550000,98198000,91721000,70275000,108400000,98574000,77149000,23443000,1704900,2214700,2112500,1693200,1964800,1656700,2182200,2038300,1561700,2408900,2190500,1714400,57569000,63178000,64014000,75303000,108850000,70108000,41385000,53571000,75083000,54159000,57563000,61778000
O14975-2;O14975;G3V1R7,O14975-2;O14975;G3V1R7,Very long-chain acyl-CoA synthetase,SLC27A2,17151000,33928000,27111000,13127000,15181000,10226000,282180000,166080000,182290000,285540000,134770000,85592000,46414000,635240,1256600,1004100,486200,562250,378760,10451000,6151200,6751400,10576000,4991400,3170100,14001000,18895000,19937000,22313000,15076000,0,154660000,108370000,101980000,157130000,93456000,67420000
O14979,O14979,Heterogeneous nuclear ribonucleoprotein D-like,HNRPDL,8333300000,9031700000,10291000000,8939900000,9415200000,8929100000,17267000000,17690000000,19346000000,18115000000,17043000000,11839000000,7812100000,416660000,451590000,514560000,446990000,470760000,446460000,863370000,884500000,967310000,905760000,852150000,591960000,7535700000,7819000000,8295800000,9346200000,10251000000,9443200000,8873100000,9842800000,10960000000,10171000000,10862000000,9375200000
O14979-3;O14979-2,O14979-3;O14979-2,Heterogeneous nuclear ribonucleoprotein D-like,HNRPDL,0,32849000,0,0,0,31022000,0,32088000,175930000,291390000,0,21466000,36547000,0,2053000,0,0,0,1938800,0,2005500,10996000,18212000,0,1341600,0,0,0,0,0,0,0,0,0,175460000,0,0
O14980;C9JKM9;C9J673;C9IYM2;F8WF71;C9IZS4;C9JQ02;C9JV99;C9JF49;H7BZC5,O14980,Exportin-1,XPO1,133060000,184150000,146980000,154640000,90688000,158960000,255430000,174430000,168800000,250430000,203380000,225950000,40508000,2510500,3474500,2773100,2917800,1711100,2999200,4819400,3291100,3185000,4725200,3837400,4263200,128350000,128650000,98679000,151740000,139000000,152210000,149630000,92816000,106030000,151420000,133810000,158200000
O15014;E7ERY8,O15014;E7ERY8,Zinc finger protein 609,ZNF609,64460000,68562000,82873000,58405000,73199000,70673000,105750000,52182000,21171000,100350000,81056000,92046000,15831000,1172000,1246600,1506800,1061900,1330900,1285000,1922800,948760,384930,1824500,1473700,1673600,0,0,63213000,61459000,72978000,73133000,0,0,0,0,60087000,0
O15042-2;O15042;E7ET15;H0Y8D9;O15042-3;C9JB80;E7EW00;C9J5L1;H7C4V2;C9JDJ7;H7C4P4,O15042-2;O15042;E7ET15,U2 snRNP-associated SURP motif-containing protein,U2SURP,4368000000,5124300000,6180500000,4388800000,3397000000,4367600000,7402400000,7153600000,7448900000,6640000000,6788900000,5740500000,1769200000,112000000,131390000,158470000,112530000,87102000,111990000,189800000,183430000,191000000,170260000,174070000,147190000,3867100000,4342500000,4699900000,4920100000,4281300000,4198500000,3634600000,4028400000,4356900000,3618000000,4121000000,3917600000
O15063,O15063,Uncharacterized protein KIAA0355,KIAA0355,17677000,46333000,20691000,15199000,12044000,11874000,33808000,30712000,27689000,16845000,20970000,16565000,5878400,384280,1007200,449800,330400,261830,258130,734950,667640,601920,366200,455880,360110,0,37838000,0,0,0,0,0,0,0,0,0,0
O15067,O15067,Phosphoribosylformylglycinamidine synthase,PFAS,8303800,0,11719000,9943600,8460700,11967000,11072000,0,10680000,0,8073900,10413000,1562600,143170,0,202050,171440,145870,206330,190900,0,184140,0,139210,179540,0,0,0,0,0,0,0,0,0,0,0,7757400
